FID	id	left	top	right	bottom	NUMPOINTS	QuadradoDoNumPonto				
0	232	-29856,0071	-11015,7346	-24856,0071	-16015,7346	10	100				
1	408	5143,9929	-16015,7346	10143,9929	-21015,7346	1	1				
2	364	-4856,0071	-46015,7346	143,9929	-51015,7346	0	0				
3	331	-9856,0071	-6015,7346	-4856,0071	-11015,7346	2	4				
4	346	-9856,0071	-81015,7346	-4856,0071	-86015,7346	0	0				
5	202	-34856,0071	13984,2654	-29856,0071	8984,2654	4	16				
6	297	-19856,0071	-86015,7346	-14856,0071	-91015,7346	0	0				
7	215	-34856,0071	-51015,7346	-29856,0071	-56015,7346	0	0				
8	132	-49856,0071	-11015,7346	-44856,0071	-16015,7346	1	1				
9	508	25143,9929	-16015,7346	30143,9929	-21015,7346	0	0				
10	506	25143,9929	-6015,7346	30143,9929	-11015,7346	0	0				
11	218	-34856,0071	-66015,7346	-29856,0071	-71015,7346	0	0				
12	147	-49856,0071	-86015,7346	-44856,0071	-91015,7346	2	4				
13	127	-49856,0071	13984,2654	-44856,0071	8984,2654	3	9				
14	201	-34856,0071	18984,2654	-29856,0071	13984,2654	5	25				
15	413	5143,9929	-41015,7346	10143,9929	-46015,7346	0	0				
16	285	-19856,0071	-26015,7346	-14856,0071	-31015,7346	3	9				
17	243	-29856,0071	-66015,7346	-24856,0071	-71015,7346	0	0				
18	185	-39856,0071	-26015,7346	-34856,0071	-31015,7346	2	4				
19	405	5143,9929	-1015,7346	10143,9929	-6015,7346	1	1				
20	84	-59856,0071	-21015,7346	-54856,0071	-26015,7346	4	16				
21	156	-44856,0071	-6015,7346	-39856,0071	-11015,7346	1	1				
22	362	-4856,0071	-36015,7346	143,9929	-41015,7346	0	0				
23	62	-64856,0071	-36015,7346	-59856,0071	-41015,7346	6	36				
24	479	20143,9929	3984,2654	25143,9929	-1015,7346	0	0				
25	23	-74856,0071	-91015,7346	-69856,0071	-96015,7346	0	0				
26	88	-59856,0071	-41015,7346	-54856,0071	-46015,7346	8	64				
27	70	-64856,0071	-76015,7346	-59856,0071	-81015,7346	1	1				
28	176	-39856,0071	18984,2654	-34856,0071	13984,2654	0	0				
29	91	-59856,0071	-56015,7346	-54856,0071	-61015,7346	4	16				
30	268	-24856,0071	-66015,7346	-19856,0071	-71015,7346	0	0				
31	213	-34856,0071	-41015,7346	-29856,0071	-46015,7346	3	9				
32	177	-39856,0071	13984,2654	-34856,0071	8984,2654	1	1				
33	240	-29856,0071	-51015,7346	-24856,0071	-56015,7346	0	0				
34	380	143,9929	-1015,7346	5143,9929	-6015,7346	0	0				
35	61	-64856,0071	-31015,7346	-59856,0071	-36015,7346	0	0				
36	198	-39856,0071	-91015,7346	-34856,0071	-96015,7346	4	16				
37	11	-74856,0071	-31015,7346	-69856,0071	-36015,7346	5	25				
38	245	-29856,0071	-76015,7346	-24856,0071	-81015,7346	2	4				
39	327	-9856,0071	13984,2654	-4856,0071	8984,2654	0	0				
40	312	-14856,0071	-36015,7346	-9856,0071	-41015,7346	1	1				
41	230	-29856,0071	-1015,7346	-24856,0071	-6015,7346	5	25				
42	128	-49856,0071	8984,2654	-44856,0071	3984,2654	1	1				
43	162	-44856,0071	-36015,7346	-39856,0071	-41015,7346	2	4				
44	190	-39856,0071	-51015,7346	-34856,0071	-56015,7346	8	64				
45	435	10143,9929	-26015,7346	15143,9929	-31015,7346	0	0				
46	166	-44856,0071	-56015,7346	-39856,0071	-61015,7346	9	81				
47	164	-44856,0071	-46015,7346	-39856,0071	-51015,7346	4	16				
48	171	-44856,0071	-81015,7346	-39856,0071	-86015,7346	4	16				
49	199	-39856,0071	-96015,7346	-34856,0071	-101015,7346	1	1				
50	301	-14856,0071	18984,2654	-9856,0071	13984,2654	0	0				
51	59	-64856,0071	-21015,7346	-59856,0071	-26015,7346	1	1				
